0	1	-79.32
1	0	-79.32
0	2	-100.26
2	0	-100.26
0	3	-105.91
3	0	-105.91
0	4	-86.80
4	0	-86.80
0	5	-96.78
5	0	-96.78
0	6	-103.28
6	0	-103.28
0	7	-109.22
7	0	-109.22
0	8	-98.78
8	0	-98.78
0	9	-103.97
9	0	-103.97
0	10	-104.64
10	0	-104.64
0	11	-110.92
11	0	-110.92
0	12	-104.09
12	0	-104.09
0	13	-110.84
13	0	-110.84
0	14	-117.43
14	0	-117.43
0	15	-109.37
15	0	-109.37
1	2	-81.04
2	1	-81.04
1	3	-98.71
3	1	-98.71
1	4	-98.00
4	1	-98.00
1	5	-81.09
5	1	-81.09
1	6	-89.79
6	1	-89.79
1	7	-94.31
7	1	-94.31
1	8	-100.38
8	1	-100.38
1	9	-100.78
9	1	-100.78
1	10	-104.24
10	1	-104.24
1	11	-106.03
11	1	-106.03
1	12	-110.92
12	1	-110.92
1	13	-105.71
13	1	-105.71
1	14	-105.94
14	1	-105.94
1	15	-104.67
15	1	-104.67
2	3	-84.46
3	2	-84.46
2	4	-100.71
4	2	-100.71
2	5	-90.27
5	2	-90.27
2	6	-78.43
6	2	-78.43
2	7	-91.27
7	2	-91.27
2	8	-106.49
8	2	-106.49
2	9	-105.37
9	2	-105.37
2	10	-96.75
10	2	-96.75
2	11	-100.94
11	2	-100.94
2	12	-112.68
12	2	-112.68
2	13	-103.15
13	2	-103.15
2	14	-106.33
14	2	-106.33
2	15	-106.72
15	2	-106.72
3	4	-108.75
4	3	-108.75
3	5	-107.03
5	3	-107.03
3	6	-92.76
6	3	-92.76
3	7	-83.36
7	3	-83.36
3	8	-107.22
8	3	-107.22
3	9	-105.73
9	3	-105.73
3	10	-103.00
10	3	-103.00
3	11	-102.09
11	3	-102.09
3	12	-114.91
12	3	-114.91
3	13	-105.88
13	3	-105.88
3	14	-106.83
14	3	-106.83
3	15	-105.11
15	3	-105.11
4	5	-81.22
5	4	-81.22
4	6	-93.67
6	4	-93.67
4	7	-111.55
7	4	-111.55
4	8	-79.01
8	4	-79.01
4	9	-89.66
9	4	-89.66
4	10	-102.01
10	4	-102.01
4	11	-105.43
11	4	-105.43
4	12	-93.96
12	4	-93.96
4	13	-99.31
13	4	-99.31
4	14	-107.93
14	4	-107.93
4	15	-115.61
15	4	-115.61
5	6	-82.63
6	5	-82.63
5	7	-93.85
7	5	-93.85
5	8	-91.46
8	5	-91.46
5	9	-77.82
9	5	-77.82
5	10	-96.08
10	5	-96.08
5	11	-95.22
11	5	-95.22
5	12	-102.54
12	5	-102.54
5	13	-98.91
13	5	-98.91
5	14	-100.92
14	5	-100.92
5	15	-101.66
15	5	-101.66
6	7	-86.56
7	6	-86.56
6	8	-95.94
8	6	-95.94
6	9	-94.19
9	6	-94.19
6	10	-74.86
10	6	-74.86
6	11	-89.57
11	6	-89.57
6	12	-100.29
12	6	-100.29
6	13	-96.02
13	6	-96.02
6	14	-97.96
14	6	-97.96
6	15	-103.84
15	6	-103.84
7	8	-108.27
8	7	-108.27
7	9	-102.53
9	7	-102.53
7	10	-88.37
10	7	-88.37
7	11	-84.41
11	7	-84.41
7	12	-107.30
12	7	-107.30
7	13	-106.58
13	7	-106.58
7	14	-99.38
14	7	-99.38
7	15	-97.60
15	7	-97.60
8	9	-81.44
9	8	-81.44
8	10	-92.90
10	8	-92.90
8	11	-99.88
11	8	-99.88
8	12	-91.09
12	8	-91.09
8	13	-85.02
13	8	-85.02
8	14	-99.49
14	8	-99.49
8	15	-115.22
15	8	-115.22
9	10	-83.80
10	9	-83.80
9	11	-98.74
11	9	-98.74
9	12	-92.33
12	9	-92.33
9	13	-83.80
13	9	-83.80
9	14	-89.81
14	9	-89.81
9	15	-100.72
15	9	-100.72
10	11	-79.91
11	10	-79.91
10	12	-96.51
12	10	-96.51
10	13	-96.61
13	10	-96.61
10	14	-81.90
14	10	-81.90
10	15	-88.61
15	10	-88.61
11	12	-105.37
12	11	-105.37
11	13	-103.56
13	11	-103.56
11	14	-91.72
14	11	-91.72
11	15	-87.55
15	11	-87.55
12	13	-82.57
13	12	-82.57
12	14	-98.18
14	12	-98.18
12	15	-106.68
15	12	-106.68
13	14	-84.13
14	13	-84.13
13	15	-95.39
15	13	-95.39
14	15	-86.30
15	14	-86.30
